 VL1  2 298.606 1020  3 58 21  204.91
 VL1  2 298.632 1020  5  0  0  204.02
 VL1  2 298.658 1020  6  1 38  203.00
 VL1  2 298.683 1020  7  3 17  202.10
 VL1  2 298.734 1020  9  6 34  200.84
 VL1  2 298.760 1020 10  8 13  205.48
 VL1  2 298.786 1020 11  9 51  213.05
 VL1  2 298.811 1020 12 11 30  221.84
 VL1  2 298.837 1020 13 13  8  229.77
 VL1  2 298.863 1020 14 14 47  235.88
 VL1  2 298.888 1020 15 16 25  239.07
 VL1  2 298.914 1020 16 18  4  235.20
 VL1  2 298.940 1020 17 19 42  231.25
 VL1  2 298.965 1020 18 21 21  228.42
 VL1  2 298.991 1020 19 22 59  224.51
 VL1  2 299.017 1020 20 24 38  219.62
 VL1  2 299.042 1020 21 26 16  216.67
 VL1  2 299.068 1020 22 27 55  213.73
 VL1  2 299.094 1020 23 29 33  210.68
 VL1  2 299.119 1020 24 31 13  208.76
 VL1  2 299.145 1021  0 53 16  206.83
 VL1  2 299.171 1021  1 54 54  206.05
 VL1  2 299.196 1021  2 56 33  204.02
 VL1  2 299.222 1021  3 58 11  203.24
 VL1  2 299.247 1021  4 59 50  202.23
 VL1  2 299.273 1021  6  1 28  200.19
 VL1  2 299.299 1021  7  3  7  199.30
 VL1  2 299.350 1021  9  6 24  198.15
 VL1  2 299.376 1021 10  8  2  201.86
 VL1  2 299.401 1021 11  9 41  207.31
 VL1  2 299.427 1021 12 11 20  215.00
 VL1  2 299.452 1021 13 12 58  222.86
 VL1  2 299.478 1021 14 14 37  229.90
 VL1  2 299.504 1021 15 16 15  232.97
 VL1  2 299.529 1021 16 17 54  231.25
 VL1  2 299.555 1021 17 19 33  227.25
 VL1  2 299.581 1021 18 21 11  224.35
 VL1  2 299.632 1021 20 24 28  217.59
 VL1  2 299.657 1021 21 26  7  214.74
 VL1  2 327.313 1068 13 22 59  228.87
 VL1  2 327.333 1068 14 14 37  234.91
 VL1  2 327.357 1068 15 16 16  239.02
 VL1  2 327.380 1068 16 17 54  236.11
 VL1  2 327.404 1068 17 19 33  233.16
 VL1  2 327.428 1068 18 21 11  230.23
 VL1  2 327.475 1068 20 24 28  223.41
 VL1  2 327.499 1068 21 26  7  220.54
 VL1  2 327.522 1068 22 27 46  217.49
 VL1  2 327.546 1068 23 29 24  215.56
 VL1  2 327.570 1068 24 31  3  213.62
 VL1  2 327.594 1069  0 53  6  211.80
 VL1  2 327.617 1069  1 54 44  209.77
 VL1  2 327.641 1069  2 56 23  207.74
 VL1  2 327.665 1069  3 58  1  206.83
 VL1  2 327.688 1069  4 59 40  205.93
 VL1  2 327.712 1069  6  1 18  205.03
 VL1  2 327.736 1069  7  2 58  204.13
 VL1  2 327.760 1069  8  4 36  203.12
 VL1  2 327.783 1069  9  6 15  202.88
 VL1  2 327.807 1069 10  7 53  207.41
 VL1  2 327.831 1069 11  9 32  215.09
 VL1  2 327.854 1069 12 11 10  224.98
 VL1  2 327.878 1069 13 12 49  232.91
 VL1  2 327.902 1069 14 14 27  239.02
 VL1  2 327.925 1069 15 16  6  241.07
 VL1  2 327.949 1069 16 17 44  238.16
 VL1  2 327.973 1069 17 19 23  236.23
 VL1  2 327.996 1069 18 21  1  233.29
 VL1  2 328.020 1069 19 22 40  229.36
 VL1  2 328.044 1069 20 24 18  226.46
 VL1  2 328.067 1069 21 25 57  222.48
 VL1  2 328.091 1069 22 27 35  220.54
 VL1  2 328.115 1069 23 29 14  217.59
 VL1  2 328.138 1069 24 30 53  215.75
 VL1  2 328.186 1070  1 54 35  210.79
 VL1  2 328.209 1070  2 56 13  208.97
 VL1  2 328.233 1070  3 57 52  206.95
 VL1  2 328.257 1070  4 59 30  206.16
 VL1  2 328.280 1070  6  1  9  203.12
 VL1  2 328.304 1070  7  2 47  202.23
 VL1  2 328.328 1070  8  4 26  200.19
 VL1  2 328.351 1070  9  6  4  200.19
 VL1  2 328.375 1070 10  7 43  201.98
 VL1  2 328.399 1070 11  9 21  205.48
 VL1  2 328.422 1070 12 11  0  213.33
 VL1  2 328.470 1070 14 14 17  226.01
 VL1  2 328.493 1070 15 15 56  230.03
 VL1  2 328.517 1070 16 17 35  229.21
 VL1  2 328.540 1070 17 19 13  227.32
 VL1  2 328.564 1070 18 20 52  224.35
 VL1  2 328.611 1070 20 24  9  218.60
 VL1  2 328.635 1070 21 25 47  215.65
 VL1  2 328.659 1070 22 27 26  213.73
 VL1  2 328.682 1070 23 29  4  211.70
 VL1  2 328.706 1070 24 30 43  210.79
 VL1  2 328.729 1071  0 52 46  208.76
 VL1  2 328.753 1071  1 54 24  207.85
 VL1  2 328.777 1071  2 56  3  207.96
 VL1  2 328.800 1071  3 57 41  205.93
 VL1  2 328.824 1071  5  0 30  204.91
 VL1  2 328.839 1071  5 39 14  203.90
 VL1  2 328.848 1071  6  2  8  203.90
 VL1  2 328.872 1071  7  3 47  204.02
 VL1  2 328.895 1071  8  5 25  203.00
 VL1  2 328.919 1071  9  7  4  202.88
 VL1  2 328.942 1071 10  8 42  205.70
 VL1  2 328.966 1071 11 10 21  211.39
 VL1  2 328.990 1071 12 11 59  218.07
 VL1  2 329.013 1071 13 13 38  226.01
 VL1  2 329.037 1071 14 15 16  231.89
 VL1  2 329.060 1071 15 16 55  235.99
 VL1  2 329.084 1071 16 18 33  236.17
 VL1  2 329.108 1071 17 20 12  233.10
 VL1  2 329.131 1071 18 21 50  231.25
 VL1  2 329.155 1071 19 23 29  228.34
 VL1  2 329.178 1071 20 25  7  224.43
 VL1  2 329.202 1071 21 26 47  220.54
 VL1  2 329.226 1071 22 28 25  217.49
 VL1  2 329.249 1071 23 30  4  215.56
 VL1  2 329.273 1071 24 31 42  214.64
 VL1  2 329.296 1072  0 53 45  212.71
 VL1  2 329.320 1072  1 55 24  210.79
 VL1  2 329.343 1072  2 57  2  208.97
 VL1  2 329.367 1072  3 58 41  207.06
 VL1  2 329.391 1072  5  0 19  205.15
 VL1  2 329.414 1072  6  1 58  201.98
 VL1  2 329.438 1072  7  3 36  201.21
